link,name,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
https://www.ubereats.com/store/black-seed-cafe-%26-grill/OiCeshx9Sbaa6vRjeuVtYw,Black Seed Cafe &amp; Grill,"['Halal', 'Mediterranean', 'Group Friendly']",4.8,200,$$,42.3559199,-71.0622492,+16173380024,02111,131 Tremont St,Boston,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '2:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '4:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boston', 'addressRegion': 'MA', 'postalCode': '02111', 'addressCountry': 'US', 'streetAddress': '131 Tremont St'}","{'@type': 'GeoCoordinates', 'latitude': 42.3559199, 'longitude': -71.0622492}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '200'}","Black Seed Cafe &amp; Grill, 131 Tremont St, Boston, MA, 02111"
https://www.ubereats.com/store/el-jefes-boston-commons/GbhgVIvQTDGXrEXrWecRdw,El Jefe’s - Boston Commons,"['Mexican', 'New Mexican', 'Salads', 'Healthy']",4.7,200,$,42.3522503,-71.0649554,+16179363610,02116,80 Boylston Street #A,Boston,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '11:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boston', 'addressRegion': 'MA', 'postalCode': '02116', 'addressCountry': 'US', 'streetAddress': '80 Boylston Street #A'}","{'@type': 'GeoCoordinates', 'latitude': 42.3522503, 'longitude': -71.0649554}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '200'}","El Jefe’s - Boston Commons, 80 Boylston Street #A, Boston, MA, 02116"
https://www.ubereats.com/store/boston-pizza-and-grill/o-XV1cfrTTSZiFrPvW_KCg,Boston Pizza and Grill,"['Pizza', 'Ice Cream + Frozen Yogurt', 'Allergy Friendly', 'Family Friendly', 'Group Friendly']",4.6,200,$,42.3158647751957,-71.0660533196684,+16172652222,02125,535 Columbia Rd,Dorchester,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '23:35'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:35'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dorchester', 'addressRegion': 'MA', 'postalCode': '02125', 'addressCountry': 'US', 'streetAddress': '535 Columbia Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.31586477519567, 'longitude': -71.06605331966837}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}","Boston Pizza and Grill, 535 Columbia Rd, Dorchester, MA, 02125"
https://www.ubereats.com/store/bubbakoos-burritos-boston/8JwfN62UUliM0Wn44gJxdw,Bubbakoo's Burritos (Boston),"['Mexican', 'Burritos', 'Desserts']",4.7,81,"",42.35296,-71.12962,+16175141741,02134,89 Brighton Avenue,Boston,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '11:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boston', 'addressRegion': 'MA', 'postalCode': '02134', 'addressCountry': 'US', 'streetAddress': '89 Brighton Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 42.35296, 'longitude': -71.12962}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '81'}","Bubbakoo's Burritos (Boston), 89 Brighton Avenue, Boston, MA, 02134"
https://www.ubereats.com/store/ihop-1850-soldiers-field-road/-_rkQaZoQYyjYQAGskGqfQ,IHOP (1850 Soldiers Field Road),"['American', 'Breakfast and Brunch', 'burger', 'Comfort Food', 'Dinner', 'Omelette', 'salad', 'Traditional American', 'Family Meals', 'Group Friendly']",4.6,200,$,42.3586425,-71.1573175,16177870533.0,2135.0,1850 Soldiers Field Rd,Boston,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boston', 'addressRegion': 'MA', 'postalCode': '02135', 'addressCountry': 'US', 'streetAddress': '1850 Soldiers Field Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.3586425, 'longitude': -71.1573175}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}","IHOP (1850 Soldiers Field Road), 1850 Soldiers Field Rd, Boston, MA, 2135.0"
https://www.ubereats.com/store/mcdonalds-border-st-e-boston/rFZoABXoTxWh0KDi7aiC4A,"McDonald's® (Border St, E Boston)","['American', 'Fast Food', 'Burgers']",4.6,200,$,42.3744531,-71.0402807,+16175679374,02128*,178 BORDER ST,EAST BOSTON,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '6:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '6:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '22:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '6:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '3:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'EAST BOSTON', 'addressRegion': 'MA', 'postalCode': '02128*', 'addressCountry': 'US', 'streetAddress': '178 BORDER ST'}","{'@type': 'GeoCoordinates', 'latitude': 42.3744531, 'longitude': -71.0402807}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}","McDonald's® (Border St, E Boston), 178 BORDER ST, EAST BOSTON, MA, 02128*"
https://www.ubereats.com/store/pepis-pizzeria/Hkum0QaVTJCfsFuhjLkp9A,Pepi's Pizzeria,"['Italian', 'Pizza', 'Pasta', 'Deli', 'Fast Food', 'Sandwich', 'Chicken']",4.8,200,$,42.3965885,-71.1039685,+16176285555,02145,516 Medford St,Somerville,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '22:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '1:20'}]","{'@type': 'PostalAddress', 'addressLocality': 'Somerville', 'addressRegion': 'MA', 'postalCode': '02145', 'addressCountry': 'US', 'streetAddress': '516 Medford St'}","{'@type': 'GeoCoordinates', 'latitude': 42.3965885, 'longitude': -71.1039685}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '200'}","Pepi's Pizzeria, 516 Medford St, Somerville, MA, 02145"
https://www.ubereats.com/store/wok-n-talk/3xxI8dUhTXi0PMG_c-ai8A,Wok n Talk,"['Asian Fusion', 'Family Friendly']",4.7,200,$$,42.33147,-71.11212,+16174878262,02130,23 S Huntington Ave,Boston,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Boston', 'addressRegion': 'MA', 'postalCode': '02130', 'addressCountry': 'US', 'streetAddress': '23 S Huntington Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.33147, 'longitude': -71.11212}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '200'}","Wok n Talk, 23 S Huntington Ave, Boston, MA, 02130"
https://www.ubereats.com/store/papa-johns-622-somerville/_VOH5ZsRQt-Bf1FUx5oANw,Papa Johns (622 Somerville),"['Pizza', 'Wings', 'Desserts', 'Sandwiches']",4.6,200,$,42.38398,-71.110091,+16176279100,02143,622,Somerville,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '0:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '1:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Somerville', 'addressRegion': 'MA', 'postalCode': '02143', 'addressCountry': 'US', 'streetAddress': '622'}","{'@type': 'GeoCoordinates', 'latitude': 42.38398, 'longitude': -71.110091}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}","Papa Johns (622 Somerville), 622, Somerville, MA, 02143"
https://www.ubereats.com/store/7-eleven-600-technology-square/R1Mkxt6JTIe9yqbStj5ztg,7-Eleven (600 Technology Square),"['Convenience', 'Everyday Essentials', 'Snacks', 'Home &amp; Personal Care']",4.4,200,$,42.3631503,-71.0933845,+16174941224,02139,600 Technology Square,Cambridge,MA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cambridge', 'addressRegion': 'MA', 'postalCode': '02139', 'addressCountry': 'US', 'streetAddress': '600 Technology Square'}","{'@type': 'GeoCoordinates', 'latitude': 42.3631503, 'longitude': -71.0933845}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '200'}","7-Eleven (600 Technology Square), 600 Technology Square, Cambridge, MA, 02139"
